LASTNAME;NAME;BIRTH_DATE;CODE_COUNTRY_NUM;CODE_PLAYER;HEIGHT
Lasco; Dilan;1979-05-03;250;1090;1.83
Hensel-Werderitch; Julien;1975-12-09;570;1091;1.82
al-Zaidi; Katheer;1972-12-21;440;1092;1.86
Mileon; Brandon;1974-04-10;694;1093;1.85
el-Amini; Haashid;1971-09-26;450;1094;1.81
Nguyen; Andrew;1985-02-11;344;1095;1.85
Deleff; Kristofer;1972-07-03;239;1096;1.9
Calhoun; Jason;1977-11-23;104;1097;1.8
Forfar-Jones; David;1983-12-23;724;1098;1.84
Rodriguez; Lane;1981-09-16;276;1099;1.87
Arreola; Luis;1974-04-28;104;1100;1.81
Avila; Steven;1971-12-01;562;1101;1.94
al-Meskin; Naseer;1975-06-01;690;1102;1.85
al-Rizk; Furqaan;1978-01-19;20;1103;1.84
Luks; Qashr;1982-03-06;462;1104;1.97
Burgos; Steven;1975-08-02;332;1105;1.84
el-Baig; Rashaad;1982-07-14;174;1106;1.91
Baldwin; Vchuefeu;1984-06-27;548;1107;1.84
Wadsworth; Ethan;1981-09-08;583;1108;1.91
Allgaier; John;1972-02-04;304;1109;1.86
Reuse; Lance;1983-09-25;180;1110;1.9
Raso; John;1973-04-21;344;1111;1.96
Patten; Devin;1977-01-22;600;1112;1.82
Testerman; Benjamin;1975-10-04;31;1113;1.8
Berg; Brandon;1974-02-20;308;1114;1.84
Walters; Cainan;1985-08-19;56;1115;1.82
De La Cruz; Stephen;1984-05-14;104;1116;1.96
Cisneros; Luis;1983-02-05;231;1117;1.96
al-Zadeh; Naaji;1978-06-21;120;1118;1.87
al-Elbaz; Haashid;1984-12-07;586;1119;1.86
Bruski; Chinguun;1974-08-27;64;1120;1.84
Warren; Shawn;1985-12-24;222;1121;1.87
Ruiz-Apodaca; Victor;1977-08-17;184;1122;1.89
Jaramillo; Etelberto;1978-09-11;732;1123;1.85
al-Saleem; Bassil;1984-01-02;660;1124;1.95
el-Tamer; Abdul Khaliq;1979-01-11;492;1125;1.9
Blanco; Edward;1972-06-03;56;1126;1.88
al-Hamid; Hibbaan;1974-09-04;44;1127;1.86
Lee; Lawrence;1976-08-24;548;1128;1.89
Ramzy; Daquawn;1984-10-19;710;1129;1.97
Wilson; Jacob;1984-05-04;312;1130;1.9
Davis; Darnell;1984-06-12;604;1131;1.94
al-Saad; Abdul Ghafoor;1980-06-08;504;1132;1.87
Light Bosquez; Brady;1985-12-06;28;1133;1.89
Gonzales; Richard;1979-01-30;583;1134;1.93
al-Tawil; Adnaan;1977-07-11;616;1135;1.94
Kreul; Brandon;1984-01-04;344;1136;1.95
Reyes; Luis;1975-06-25;535;1137;1.96
Asmarzadeh; Thomas;1979-05-25;654;1138;1.98
Chester; Althean;1979-11-20;662;1139;1.8
Loera-Silva; Jadon;1973-12-07;64;1140;1.98
Blackmore; Dale;1983-06-17;860;1141;1.85
Duran; Mathew;1972-12-07;214;1142;1.8
Tan; Anthony;1981-12-12;218;1143;1.97
Pauka; Elijah;1974-06-29;686;1144;1.87
Perez; Robert;1978-03-04;296;1145;1.83
Johnson; Bailey;1979-05-24;604;1146;1.92
Vue; Brian;1972-09-03;784;1147;1.92
el-Rasul; Irfaan;1972-03-23;630;1148;1.91
el-Abdelnour; Alawi;1982-05-19;188;1149;1.82
Price; Kevin;1977-03-05;652;1150;1.94
Abalos; Richard;1985-05-11;404;1151;1.85
Vallie; Indigo;1985-01-28;652;1152;1.93
Green; Lameek;1982-06-16;76;1153;1.95
Hecomovich; Kelsey;1984-10-21;764;1154;1.86
al-Nasr; Ibrahim;1973-03-27;584;1155;1.93
Rippy; Cornelius;1973-03-26;208;1156;1.88
Fiddelke; Christopher;1977-06-06;807;1157;1.88
al-Rashid; Humaidaan;1975-12-11;340;1158;1.86
Goldscheitter; Justin;1974-12-21;554;1159;1.96
Thatcher; Nathan;1975-04-26;398;1160;1.9
Manzanares; Jerimiah;1980-05-27;516;1161;1.85
Paige; Dominique;1985-02-07;833;1162;1.98
Harvey; Evander;1977-06-09;158;1163;1.87
Guerrero; Brian;1971-10-18;428;1164;1.88
al-Ramadan; Shaheer;1978-06-07;8;1165;1.89
Gallegos; Jorge;1972-05-04;414;1166;1.92
Smiley; Brody;1976-07-07;360;1167;1.94
el-Dia; Iyaad;1977-05-10;266;1168;1.94
Hollaway; John;1979-12-23;624;1169;1.91
Almdale; Lance;1979-04-01;242;1170;1.92
al-Saba; Qaasim;1975-03-07;352;1171;1.89
Terry; Joseph;1984-11-29;585;1172;1.9
Han; James;1985-12-09;612;1173;1.92
Riley; Brandon;1972-12-10;410;1174;1.93
Martinez; Noe;1976-12-06;320;1175;1.86
Vo; Savdeep;1973-09-27;96;1176;1.94
Maas; Michael Dale;1979-03-06;688;1177;1.93
Tran; Brandon;1971-12-13;226;1178;1.82
al-Fahs; Abdul Khaliq;1976-10-03;124;1179;1.98
Hoffer; Brandon;1981-06-01;578;1180;1.86
Moore; Lesante;1971-03-11;248;1181;1.84
el-Yassin; Abdus Samad;1983-04-23;175;1182;1.81
Jauch; Taylor;1984-04-08;100;1183;1.91
Brown; Alexander;1975-05-12;90;1184;1.87
al-Salah; Humaidaan;1971-08-28;710;1185;1.93
el-Nasser; Jaasim;1982-07-24;858;1186;1.85
el-Sala; Haazim;1972-10-13;688;1187;1.87
Kumar; Sebastian;1985-09-19;780;1188;1.97
Garcia; Farley;1984-10-16;417;1189;1.92
al-Rahaim; Akram;1977-10-20;860;1190;1.82
Huddleston; Jon;1985-02-22;850;1191;1.89
Maileoi; Fate;1973-07-09;188;1192;1.95
el-Mostafa; Abdul Wadood;1976-04-03;254;1193;1.9
Otgontulga; Adam;1984-02-09;51;1194;1.96
Mendoza; Ivan;1976-02-09;533;1195;1.81
Dombaugh; Ty;1983-11-13;428;1196;1.94
Battumur; Tommy;1979-06-09;368;1197;1.96
Burns; Brandan;1974-10-19;492;1198;1.9
Hassan; Jared;1972-02-30;148;1199;1.97
Bender; Christopher;1973-06-09;40;1200;1.88
Parker; Abdifatah;1983-08-20;196;1201;1.86
Jivan; Rayden;1971-12-03;466;1202;1.84
Angeles; Julian;1982-05-05;191;1203;1.82
Hicks; Brandon;1971-04-01;384;1204;1.84
Lorenz; Tyler;1980-05-27;752;1205;1.8
Richards; Zachary;1983-08-03;254;1206;1.84
Mcroy; Cochise;1985-01-29;192;1207;1.91
Sanchez Mejia; Austin;1981-08-05;768;1208;1.97
Bueno; Robert;1971-08-28;320;1209;1.97
Vue; Alec;1973-09-20;756;1210;1.85
Valenzuela; Gabriel;1985-05-10;352;1211;1.91
Miller; Nolan;1971-06-07;300;1212;1.83
Gosnell; Jacob;1978-08-17;10;1213;1.95
Creel; Trevor;1971-02-14;752;1214;1.87
Melonas; Adam;1979-11-10;417;1215;1.91
Truong; Richard;1978-05-29;275;1216;1.94
Deibel; Neil;1984-08-30;776;1217;1.97
Butler; Jorge;1971-02-16;92;1218;1.84
al-Hakim; Taaj;1976-10-21;68;1219;1.92
Cao; Justin;1984-03-10;512;1220;1.94
Thornholt; Joseph;1979-07-12;268;1221;1.89
al-Arshad; Aadam;1976-05-05;356;1222;1.81
Zimmerman; Dominik;1979-12-30;520;1223;1.9
el-Hakim; Haarith;1972-03-03;112;1224;1.94
el-Azad; Zaki;1979-05-27;462;1225;1.83
Duran; Rance;1982-09-04;300;1226;1.97
Mutch; Talon;1978-03-09;624;1227;1.9
Nguyen; Sebastian;1975-02-16;400;1228;1.93
Larsen; Grant;1983-03-25;320;1229;1.83
Schmitz; Darren;1973-09-13;620;1230;1.91
Aviado; Jacob;1978-03-10;56;1231;1.91
Blitzer; Emmanuel;1975-09-12;744;1232;1.87
Gentry; Cesar;1978-03-18;184;1233;1.82
el-Jama; Uthmaa N;1976-07-04;858;1234;1.84
Frost; Gavin;1974-12-08;320;1235;1.81
Lee; Anthony;1981-09-14;152;1236;1.93
al-Syed; Shabaan;1976-10-15;744;1237;1.87
Vick; Clarence;1971-05-23;132;1238;1.86
Ramirez; Martin;1983-06-29;232;1239;1.93
Bedan; Vincent;1983-03-20;807;1240;1.86
al-Din; Sabri;1971-03-05;356;1241;1.82
Lynn; Eric;1977-11-02;608;1242;1.83
Turner; Marnath;1977-08-04;466;1243;1.94
el-Mannan; Fawzi;1983-06-30;882;1244;1.9
Barry; Brandon;1984-03-25;233;1245;1.92
Parker; Kenton;1985-03-16;262;1246;1.86
Towns; Michael;1976-06-12;807;1247;1.9
Ehizuelen; Jamal;1975-09-14;84;1248;1.9
Bostic; Eugene;1984-10-04;74;1249;1.96
Chester; August;1977-11-05;798;1250;1.96
Mason; Tazz;1973-04-25;807;1251;1.89
